GS,MS,JPM,
147.23,22.7,55.52,
148.25,22.93,56.2,
149.25,22.67,56.54,
156.47,24.35,57.75,
156.49,25.01,58.4,
152.68,24.32,57.41,
151.7,24.5,57.03,
159.65,25.71,58.86,
161.56,25.88,59.5,
157.06,25.17,57.28,
153.72,25.37,57.04,
154.45,25.49,57.08,
151.12,24.98,55.66,
156.86,25.61,56.95,
151.65,24.78,55.25,
153.75,25.24,55.51,
156.82,26.26,57.01,
155.61,25.97,57.04,
161.39,27.15,58.2,
158.99,26.89,57.34,
165.71,28.46,58.96,
165.73,28.46,58.83,
163.94,28.38,58.92,
164.62,28.98,60.27,
169.84,30.5,62.81,
174.09,31.28,63.73,
177.14,31.48,63.62,
180.23,31.81,66.03,
182.01,32.23,66.59,
183.53,32.55,67.07,
181.62,32.17,66.38,
182.47,32.48,66.6,
182.95,32.6,66.73,
180.05,32.22,65.68,
177.75,31.68,65.54,
175.49,31.29,64.4,
182.61,32.38,66.28,
186.21,33.61,67.53,
182.01,32.84,66.1,
176.4,31.88,64.27,
176.56,32.08,64.07,
182.11,33.42,65.61,
180.71,33.37,65.46,
182.92,34.06,65.96,
185.49,34.68,67,
189.99,35.32,67.89,
185.2,34.45,65.8,
190.26,34.89,66.66,
193.07,35.27,67.61,
190.02,34.3,66.68,
190.47,33.78,67.17,
189.15,33.61,66.86,
188.67,33.59,66.78,
189.19,33.64,66.88,
191.47,33.91,67.54,
193.03,34.17,67.66,
193.66,34.25,67.45,
190.57,33.59,66.13,
192.16,34.05,66.51,
190.39,33.93,65.56,
192.77,34.23,66,
197.39,35.02,67.35,
197.81,35.24,67.68,
196.76,35.11,67.39,
199.17,35.41,68.46,
192.02,33.88,66.44,
191.65,33.4,65.85,
190.69,33.29,65.78,
189.68,33.48,65.54,
187.5,32.97,64.25,
189.89,33.54,65.21,
191.32,33.44,65.5,
186.31,32.23,63.64,
187.01,32.55,63.9,
185.5,32.62,63.87,
183.56,32.35,63.19,
179.7,31.48,62.06,
185.51,32.25,62.52,
185.74,32.32,62.22,
185.18,33.95,62.43,
184.96,33.61,61.89,
179.51,32.54,59.99,
180.97,32.61,61.55,
180.23,32.8,61.72,
179.19,32.72,61.93,
181.07,32.99,62.13,
182.23,32.93,62.13,
180.32,32.36,62.05,
180.7,32.29,62.02,
177.01,31.43,60.81,
176.02,31.5,61.42,
173.76,31.5,60.97,
171.86,31.01,59.84,
173.02,31.09,59.98,
179.83,32.19,61.47,
176.91,31.97,60.22,
179.41,32.32,60.64,
179.72,32.44,60.91,
183.35,33.34,61.45,
180.94,33.03,60.94,
186.45,34.05,62.65,
188.64,34.62,64.14,
187.45,34.58,63.58,
183.94,33.81,62.38,
185.27,33.99,62.56,
185.91,33.87,62.66,
185.68,33.75,62.18,
185.88,34.27,63.16,
180.38,33.19,61.5,
185.06,33.8,62.68,
184.51,33.79,62.57,
182.12,33.12,61.45,
188.6,34.45,64.1,
187.75,34.05,64.13,
189.21,34.3,64.48,
184.4,33.3,62.91,
178.22,31.76,59.91,
179.46,32.26,60.25,
187.74,34.21,63.6,
196.75,36.17,65.94,
200.95,37.44,67.6,
201.18,37.82,68.21,
202.57,38.14,68.07,
202.02,38.05,67.89,
200.74,37.75,67.55,
201.13,37.57,67.24,
201.7,37.92,68.23,
205.97,39.08,68.89,
203.44,38.58,68.05,
205.09,38.93,68.25,
205.7,39,68.73,
205.17,38.92,68.46,
204.69,38.76,68.53,
205.07,38.84,68.53,
207.2,39.3,69.04,
206.84,39.29,68.94,
206.24,39.25,68.05,
205.02,39.25,68.01,
207.35,39.6,68.91,
211.05,39.94,69.64,
213.25,40.54,70.08,
211.5,40.08,69.1,
212.39,40.04,69.26,
212.46,40.2,69.21,
211.18,39.91,69.56,
212.96,39.7,69.19,
212.16,39.71,69.04,
210.12,39.32,68.09,
207.19,38.64,67.05,
204.81,38.1,66.11,
204.06,37.79,65.43,
208.21,38.62,66.8,
208.04,38.85,67.33,
209.2,39,67.52,
209.94,39.36,68.07,
208.79,38.79,67.76,
207.65,38.31,67.2,
213.17,39.5,68.95,
212.82,39.22,68.65,
214.43,39.64,69.02,
218.4,40.21,69.75,
216.51,39.85,68.96,
213.19,39.37,68.08,
214.6,39.79,68.78,
212.93,39.58,68.14,
213.56,39.74,68.37,
211.76,39.53,67.99,
213.06,39.61,68.25,
213.94,39.87,68.52,
213.13,39.89,68.26,
209.02,39.13,67.18,
209.79,39.09,66.89,
210.45,39.29,67.42,
208.87,38.7,66.33,
208.29,39.01,66.7,
206.43,38.52,66.02,
207.81,38.58,66.08,
206.19,38.2,65.78,
208.48,38.73,66.2,
209.06,38.62,66.47,
